experience_slug,hub_mapping_status,locked_hubs,access_types,confidence,notes
afghan-carpets,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
afghan-weddings,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
buzkashi,LOCKED,"kabul-city;mazar-e-sharif;faizabad","event-based",HIGH,Event-based — NO schedule guarantees
eid-and-celebrations,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
glassblowers-of-herat,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
gudiparan-bazi,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
istalif-pottery,LOCKED,"kabul-city","day-trip",HIGH,Locked per canonical brief
kaftar-bazi,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
kuchi-nomads,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
pahlawani,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
paktika-livestock-markets,NEEDS JAMES REVIEW,,,LOW,Do not invent hub links — province prose only until reviewed
