faq_id,page_assignment,category,tour_slug,question,answer,is_active,sort_order,related_links,image_path,verification_note,source_ref
LDR-01,home,Leadership,,What makes Afghan Tours unique?,"Our leadership includes a US citizen who has lived and worked in Kabul for many years, combined with Afghan operations staff and local guide networks. That pairing supports practical planning, local coordination, and clear communication with international travelers.

We do not invent safety guarantees — we plan carefully and adjust when conditions require it.",1,10,,,,repo-home;ops-voice
PLN-01,home,Planning,,How flexible is the itinerary?,"We plan with current conditions in mind. While each journey has a designed route, sequence, overnight points, or transport may be adjusted close to arrival — and during travel — when weather, road access, or local coordination require it.

Flexibility is part of responsible travel in Afghanistan, not a failure of planning.",1,20,/tours|/custom-requests|/contact,,,repo-home;live-faq
BKG-01,faq,Planning & Booking,,Are your tours fixed or private?,"Most Afghan Tours itineraries are designed for private parties and can be adjusted around dates, interests, comfort level, and practical route conditions.

We also publish Scheduled Tours with proposed departure windows — inquire for current availability rather than assuming a public calendar is bookable until confirmed.",1,10,/tours|/custom-requests|/contact,,,live-faq
BKG-02,faq,Planning & Booking,,Can you build a fully custom itinerary?,"Yes. Tell us your dates, priorities, preferred comfort level, and places you want to visit. We can build a journey from scratch or modify an existing itinerary.

Custom planning still depends on access, season, and local coordination — we will say so when a request is not practical.",1,20,/custom-requests|/contact|/tours,,,live-faq;zip1-FAQ-025
BKG-03,faq,Planning & Booking,,How far in advance should I contact you?,"Several weeks or months is ideal, particularly when visa documentation, specialist logistics, seasonal routes, or premium accommodation are involved.

Short-notice requests can still be reviewed, but options may be more limited.",1,30,/contact|/tours,,,live-faq;zip1-FAQ-045
BKG-04,faq,Planning & Booking,,Do you work with solo travelers and private groups?,"Yes. We plan journeys for solo travelers, couples, families, private groups, professional visitors, and specialist teams.

Solo travelers should still review cultural and logistics notes (including women-traveler guidance) before booking.",1,40,/contact|/custom-requests,,,live-faq
BKG-05,faq,Planning & Booking,,How do I book a tour with Afghan Tours?,"Start with an inquiry — via the website contact form, WhatsApp, or email. An inquiry is not a booking.

Typical sequence: inquire → we review feasibility → shared itinerary/quote discussion → confirmation steps for a booked trip. Deposit and payment schedules are confirmed in writing for your trip (see Terms for operator policy status).",1,50,/contact|/tours|/custom-requests,,Payment/deposit schedule needs operator confirmation before publishing exact %,zip1-FAQ-035;live-faq
BKG-06,faq,Planning & Booking,,What is included in a typical Afghan Tours package?,"Inclusions vary by itinerary. They may include airport transfers, accommodation, in-country transportation, guides, logistical support, and selected meals.

Always read the inclusions listed on the specific tour page — do not assume a universal package.",1,60,/tours|/contact,,,zip1-FAQ-037;live-faq
BKG-07,faq,Planning & Booking,,Can I travel independently in Afghanistan?,"We recommend that international visitors travel with pre-arranged logistics and local support. Independent travel may be possible in limited circumstances but requires significant planning, local knowledge, and realistic risk awareness.

If you prefer more independence within a structured trip, tell us — we can discuss what support level fits.",1,70,/safety|/contact,,,zip1-FAQ-036
BKG-08,faq,Planning & Booking,,Why choose Afghan Tours instead of arranging a trip myself?,"Afghanistan rewards preparation. We combine local expertise, established relationships, transportation coordination, accommodation management, documentation support where applicable, and on-the-ground assistance.

Itineraries are built around real conditions and practical logistics — not brochure assumptions.",1,80,/tours|/contact,,,zip1-FAQ-046
VIS-01,faq;logistics,Visas & Documentation,,Do I need a visa to visit Afghanistan?,"Most foreign nationals need an Afghan visa or other authorized entry permission before travel. Requirements and channels vary by nationality and can change.

Many travelers can apply through the official government e-Visa process when available for their nationality; others may still use embassy/consulate channels. Always confirm current requirements with official sources and your nearest Afghan mission — Afghan Tours does not issue visas.",1,10,/visa-entry|/contact,/assets/images/faqs/visa-sample.webp,Confirm current e-Visa eligibility list and any nationality exceptions with ops before marketing as universal,zip1-FAQ-001;james-corrections;live-faq
VIS-02,faq;logistics,Visas & Documentation,,Is a Letter of Invitation (LOI) always required?,"No. An LOI is not universally required for every nationality or every visa channel. Some travelers complete e-Visa or other applications without an LOI; others still need invitation or supporting tourism documentation.

Where an LOI or supporting letter is required for your nationality and itinerary, Afghan Tours can provide that support for confirmed booked travelers. Final visa decisions remain with the authorities.",1,20,/visa-entry|/contact,,,james-corrections;live-faq;repo-VIS-01-outdated-removed
VIS-03,faq;logistics,Visas & Documentation,,Can Afghan Tours provide a visa invitation letter?,"Yes — for confirmed booked travelers, when invitation or supporting tourism documentation is required for the visa process.

We do not issue visas, guarantee approvals, or replace official application steps.",1,30,/visa-entry|/contact,,,zip1-FAQ-002;live-faq
VIS-04,faq;logistics,Visas & Documentation,,Do you arrange provincial permissions / coordination letters?,"Where an itinerary requires provincial registrations, permissions, or local coordination letters (sometimes discussed informally as maktub-style documentation), we handle or coordinate the practical process associated with the confirmed route.

Requirements vary by province and can change. A national visa alone does not always cover every internal movement or checkpoint expectation — we brief confirmed travelers on what applies to their route.",1,40,/visa-entry|/safety|/contact,/assets/images/faqs/visa-sample.webp,Exact provincial letter names/processes vary; ops should confirm wording used with travelers,james-corrections;live-faq;repo-VIS-02-rewritten
VIS-05,faq,Visas & Documentation,,What documents should I travel with?,"Requirements depend on nationality and itinerary. Typically: passport, visa/entry approval printouts, any invitation or coordination documents we provide, insurance details, and copies stored separately from originals.

We give pre-trip document guidance for confirmed travelers. Passports, visas, insurance, and personal regulatory requirements remain the traveler’s responsibility.",1,50,/visa-entry|/contact,,,live-faq
VIS-06,faq,Visas & Documentation,,Can Americans travel to Afghanistan?,"US citizens can travel to Afghanistan under current entry rules that apply to their nationality, but travelers should carefully review official travel advisories and understand the risks.

Visa channel, documentation, and insurance planning still apply. Contact us early if you are planning a trip.",1,60,/visa-entry|/safety|/contact,,Keep aligned with current US advisory language; do not soften risk,zip1-FAQ-005
SAF-02,faq;safety,Safety & Route Planning,,Is Afghanistan safe for tourists?,"Security conditions in Afghanistan vary by region, season, and current events. There is no honest universal “safe/unsafe” label.

Afghan Tours coordinates routes, accommodations, transportation, and local support carefully to reduce unnecessary exposure and keep travel structured. Conditions can still change; itineraries may be adjusted when needed.",1,10,/safety|/contact,,,zip1-FAQ-004;live-faq
SAF-03,faq;safety,Safety & Route Planning,,How do you plan travel around current conditions?,"Routes are reviewed around road access, timing, weather, seasonal conditions, local coordination, practical overnight points, and the requirements of the itinerary.

Daylight road movement is preferred where practical. Drive times are planned around realistic road conditions, not map distance alone.",1,20,/safety|/transportation,,,live-faq
SAF-04,faq;safety,Safety & Route Planning,,Can the itinerary change after booking?,"Yes. Weather, road conditions, checkpoints, accommodation availability, or local coordination can require changes to sequence, timing, transport, or stops.

When a destination becomes impractical, we discuss alternatives rather than forcing a route that no longer makes sense.",1,30,/safety|/contact,,,live-faq
SAF-05,faq;safety,Safety & Route Planning,,What is the low-profile travel approach?,"Where appropriate, we favor practical local vehicles and low-profile movement rather than conspicuous luxury convoys. Vehicle choice still depends on route, group size, terrain, and season.

The goal is workable logistics and reduced unnecessary attention — not theatrical “security theater.”",1,40,/transportation|/safety,/assets/images/faqs/transport.webp,,repo-SAF-02-rewritten
SAF-06,faq;safety,Safety & Route Planning,,What happens at checkpoints?,"Your guide manages checkpoint communication and will advise when to keep documents ready, when to avoid photography, and how to proceed respectfully.

Follow guide instructions. Do not film or photograph checkpoints, officials, or security infrastructure.",1,50,/safety,,,zip1-faq.md;james-corrections
SAF-01,faq;safety,Insurance & Health,,Is travel / high-risk insurance mandatory?,"Travel insurance is not a legal entry requirement imposed by Afghan Tours, and we do not present high-risk cover as a government “mandatory” obligation.

We strongly recommend comprehensive travel insurance that includes emergency medical treatment and evacuation appropriate to Afghanistan as a destination. Standard leisure policies often exclude this region — check wording carefully.

We do not name a required insurer, set arbitrary coverage minimums on this page, or guarantee that any policy will pay or that evacuation will always be available.",1,10,/safety|/contact,,"If ops later names preferred brokers/minimums, add only after written confirmation",james-corrections;zip1-FAQ-003;repo-SAF-01-outdated-removed
