dish_code,name,slug,region_code,province_code,destination_code,category,meal_type,is_produce,season_start,season_end,desc_short,image_path,tags,is_active
AF-KBL-PUL,Kabuli Pulao,kabuli-pulao,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Afghanistan's national rice dish with lamb carrots and raisins.,/assets/images/food/dishes/kabuli-palaw/hero.webp,Kabul,1
AF-GHZ-PUL,Ghazni Pulao,ghazni-qabili-pulao,CENTRAL,GHZ,GHZC,Main,Dinner,0,1,12,Rich variation of Kabuli pulao known for deep flavor.,/assets/images/food/dishes/kabuli-palaw/hero.webp,Ghazni,1
AF-KDR-ROS,Rosht,kandahar-rosht,SOUTH,KDR,KDRC,Main,Dinner,0,1,12,Slow-cooked lamb traditionally served with naan — a Kandahar classic.,/assets/images/food/dishes/kandahari-rosh/hero.webp,Kandahar,1
AF-BMY-QRU,Qaroot Khurti,qaroot-khurti,CENTRAL,BMY,BMYC,Main,Dinner,0,1,12,Hazaragi yogurt stew with mint and garlic.,/assets/images/food/dishes/yoghurt/hero.webp,Bamyan,1
AF-HER-KOR,Korma,korma-e-herati,WEST,HER,HERC,Main,Lunch,0,1,12,Herat-style herb stew with tender meat.,/assets/images/food/dishes/chiken-korma/hero.webp,Herat,1
AF-KBL-AUS,Aushak Dumplings,aushak-dumplings,CENTRAL,KBL,KBLC,Main,Lunch,0,1,12,Leek dumplings topped with yogurt and meat sauce.,/assets/images/food/dishes/aushak/hero.webp,Kabul,1
AF-MAZ-MAN,Mantu Dumplings,mantu-dumplings,NORTH,BAL,MAZC,Main,Lunch,0,1,12,Steamed dumplings filled with minced meat.,/assets/images/food/dishes/mantu/hero.webp,"Balkh, Mazar-e Sharif",1
AF-KDR-CHP,Chapli Kebab,chapli-kebab,SOUTH,KDR,KDRC,Main,Dinner,0,1,12,Spiced minced beef kebab popular across Afghanistan.,/assets/images/food/dishes/chapli-kabob/hero.webp,Kandahar,1
AF-HER-KAB,Kebab,herati-kebab,WEST,HER,HERC,Main,Dinner,0,1,12,"Grilled lamb kebab seasoned with herbs, in the Herat style.",/assets/images/food/dishes/herat-kabob/hero.webp,Herat,1
AF-KBL-NAN,Afghan Naan,afghan-naan,CENTRAL,KBL,KBLC,Bread,Side,0,1,12,Traditional long flatbread baked in clay ovens.,/assets/images/food/dishes/naan/hero.webp,Kabul,1
AF-BAL-BOL,Bolani Flatbread,bolani-flatbread,NORTH,BAL,MAZC,Bread,Snack,0,1,12,Pan fried flatbread stuffed with potatoes or herbs.,/assets/images/food/dishes/bolani/hero.webp,"Balkh, Mazar-e Sharif",1
AF-HER-SAM,Sambosa,sambosa-pastry,WEST,HER,HERC,Snack,Tea-Time,0,1,12,Fried pastry filled with meat or vegetables.,/assets/images/food/dishes/samosa/hero.webp,Herat,1
AF-KBL-SYK,Sheer e Yakh,sheer-e-yakh,CENTRAL,KBL,KBLC,Dessert,Snack,0,5,9,Rose water ice cream topped with clotted cream.,/assets/images/food/sweets/sheer-yakh/hero.webp,Kabul,1
AF-KDR-SPR,Sheer Pira,sheer-pira,SOUTH,KDR,KDRC,Dessert,Tea-Time,0,1,12,Milk fudge flavored with cardamom.,/assets/images/food/sweets/sheer-pira/hero.webp,Kandahar,1
AF-HER-GEF,Gosh e Fil,gosh-e-fil,WEST,HER,HERC,Dessert,Tea-Time,0,1,12,Fried elephant ear pastry served with sugar.,/assets/images/food/sweets/gosh-e-fil/hero.webp,Herat,1
AF-KBL-FIR,Firni,firni-pudding,CENTRAL,KBL,KBLC,Dessert,Tea-Time,0,1,12,Creamy milk pudding flavored with cardamom.,/assets/images/food/sweets/firni/hero.webp,Kabul,1
AF-BAL-HAW,Halwa Afghan,afghan-halwa,NORTH,BAL,MAZC,Dessert,Tea-Time,0,1,12,Traditional sweet made with flour sugar and nuts.,/assets/images/food/sweets/halwa/hero.webp,"Balkh, Mazar-e Sharif",1
AF-KBL-CHA,Afghan Green Tea,afghan-green-tea,CENTRAL,KBL,KBLC,Beverage,Tea-Time,0,1,12,Traditional green tea served after meals.,/assets/images/food/drinks/green-tea/hero.webp,Kabul,1
AF-HER-CHA,Saffron Tea,saffron-tea,WEST,HER,HERC,Beverage,Tea-Time,0,1,12,Tea infused with Herat saffron strands.,/assets/images/food/drinks/saffron-tea/hero.webp,Herat,1
