attraction_code,name,province_code,base_location_code,access_classification,requires_expedition,typical_access,overnight_type,planning_minutes,road_condition,confidence,notes,is_active
BDK-001,Badakhshan Mountains & Lakes,BDK,FAIC,expedition,1,expedition,non_hub,240,rough,low,Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
BDK-002,The Wakhan Corridor,BDK,FAIC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
BDK-003,Mount Noshaq,BDK,FAIC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
DYK-001,Daykundi Highlands,DYK,BMYC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
FRY-001,Faryab Cultural Villages,FRY,MAZC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
GHO-001,Minaret of Jam,GHO,HERC,expedition,1,expedition,non_hub,600,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
GHO-002,Rural Ghor Highlands,GHO,HERC,expedition,1,expedition,non_hub,600,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
NIM-001,Nimroz Citadel,NIM,HERC,expedition,1,expedition,non_hub,600,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
NIM-002,Qala Muhammad,NIM,HERC,expedition,1,expedition,non_hub,600,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
NIM-003,Kamal Khan Dam,NIM,HERC,expedition,1,expedition,non_hub,600,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
NRS-001,Parun Valley,NRS,JBDC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
NRS-002,Bashgal Valley,NRS,JBDC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
NRS-003,Barg-e Matal & Lakes,NRS,JBDC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
PJR-002,Paryan Valley,PJR,KBLC,expedition,1,expedition,non_hub,360,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
SEP-001,Sar-e-Pol Meadows,SEP,MAZC,expedition,1,expedition,non_hub,420,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
URZ-001,Tarin Kot Surroundings,URZ,KDRC,expedition,1,expedition,non_hub,720,rough,low,Manual review recommended for expedition-style routing. Overnight likely outside hub or secondary-city network; expedition handling recommended.,1
BAG-001,Surkh Kotal,BAG,KBLC,adventure,0,remote_daytrip,hub,360,rough,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
BAL-001,Shrine of Hazrat Ali (Blue Mosque),BAL,MAZC,standard,0,urban,hub,45,paved,high,,1
BAL-002,Ancient City of Balkh,BAL,MAZC,adventure,0,regional,hub,90,mixed,medium,Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
BAL-003,Tomb of Rabia Balkhi,BAL,MAZC,standard,0,urban,hub,30,paved,high,,1
BAL-004,Haji Piyada (Nine Domes) Mosque,BAL,MAZC,standard,0,urban,hub,45,paved,high,,1
BAL-005,Rumi's Father's House (Madrasa),BAL,MAZC,standard,0,urban,hub,30,paved,high,,1
BAL-006,Qala-i-Jangi Fortress,BAL,MAZC,standard,0,urban,hub,45,paved,high,,1
BDG-001,Badghis Hills & Nomadic Pastures,BDG,HERC,adventure,0,remote_daytrip,hub,420,rough,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
BMY-001,Buddha Niches of Bamyan,BMY,BMYC,standard,0,urban,hub,45,paved,high,,1
BMY-002,Shahr-e-Gholghola,BMY,BMYC,standard,0,urban,hub,45,paved,high,,1
BMY-003,Shahr-e-Zohak,BMY,BMYC,standard,0,urban,hub,45,paved,high,,1
BMY-004,Band-e-Amir National Park,BMY,BMYC,adventure,0,remote_daytrip,hub,90,mixed,medium,Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
BMY-005,Koh-e-Baba Mountain Range,BMY,BMYC,adventure,0,regional,hub,120,mixed,medium,Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
BMY-006,Dragon Valley,BMY,BMYC,standard,0,urban,hub,45,paved,high,,1
BMY-007,Chehel Burj Bamyan Ruins,BMY,BMYC,standard,0,urban,hub,45,paved,high,,1
FRH-001,Farah Citadel,FRH,HERC,adventure,0,remote_daytrip,hub,420,rough,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
GHZ-001,Ghazni Minarets,GHZ,GHZC,standard,0,urban,hub,30,paved,high,,1
GHZ-002,Bala Hisar of Ghazni,GHZ,GHZC,standard,0,urban,hub,45,paved,high,,1
GHZ-003,Tomb of Sultan Mahmud,GHZ,GHZC,standard,0,urban,hub,30,paved,high,,1
