hotel_id,hotel_slug,hotel_name,destination_code,tier,star_rating,per_night_price_from,description,image_path_property_1,image_path_property_2,image_path_property_3,is_active
htk,taj_kabul,Taj Hotel,KBLC,premium,5,80,A premium city-center hotel offering elegant suites with modern Afghan decor and high-security standards.,/assets/images/hotels/kabul/taj/taj.webp,/assets/images/hotels/kabul/taj/taj-pool.webp,,1
hsk,kabul_star,Kabul Star Hotel,KBLC,premium,4,180,Modern 4-star hotel featuring an outdoor pool and wellness center in the heart of Kabul.,/assets/images/hotels/kabul/kabul-star/star.webp,,,1
hgk,kabul_grand,Kabul Grand Hotel (Serena Hotel),KBLC,luxury,5,180,"The pinnacle of luxury in Kabul featuring exquisite suites, gardens, an outdoor pool, restaurant and cafe in the heart of the city.",/assets/images/hotels/kabul/kabul-grand/grand.webp,/assets/images/hotels/kabul/kabul-grand/grand-hotel-lobby.webp,/assets/images/hotels/kabul/kabul-grand/grand-pool.webp,1
hik,intercon_kabul,Kabul Intercontinental Hotel,KBLC,premium,4,150,Historic hilltop hotel offering panoramic views and classic international hospitality.,/assets/images/hotels/kabul/intercontinental/intercontinental.webp,,,1
hpk,park_star,Park Star Hotel,KBLC,standard,3,85,A reliable standard hotel with fitness facilities and easy access to Kabul's business district.,/assets/images/hotels/kabul/park-star/park-star.webp,,,1
hkk,khyber_kabul,Khyber Hotel,KBLC,budget,3,40,Budget-friendly accommodation offering basic amenities and central location.,/assets/images/hotels/kabul/khyber/khyber.webp,,,1
hah,arg_herat,Arg Hotel,HERC,premium,4,80,Premium hotel in Herat featuring a fitness center and rooms with mountain views.,/assets/images/hotels/herat/arg/arg.webp,,,1
hsh,sadaf_herat,Sadaf Hotel,HERC,premium,3,70,Reliable 3-star service with air-conditioned rooms and on-site dining.,/assets/images/hotels/herat/sadaf/sadaf.webp,,,1
hgb,gholghola,Gholghola Hotel,BMYC,premium,3,80,The hotel's finest suites offering the best vistas of the Bamyan valley.,/assets/images/hotels/bamyan/gholghola/gholghola.jpeg,/assets/images/hotels/bamyan/gholghola/gholghola1.jpeg,,1
hsj,spinghar-jbad,Spinghar Hotel,JBDC,standard,2,60,A historic Jalalabad landmark offering classic rooms and lush garden surroundings.,/assets/images/hotels/jalalabad/spinghar/spinghar.webp,/assets/images/hotels/jalalabad/spinghar/spinghar1.webp,/assets/images/hotels/jalalabad/spinghar/spinghar2.webp,1
hbm,barat_mazar,Barat Hotel,MAZC,standard,3,80,Centrally located in Mazar-e-Sharif near the Blue Mosque.,/assets/images/hotels/mazar/barat/barat.webp,,,1
hgm,ghazanfar_mazar,Ghazanfar Hotel,MAZC,premium,3,80,Business-oriented hotel with a fitness center and modern conference facilities.,/assets/images/hotels/mazar/ghazanfar/ghazanfar.webp,,,1
hkm,kefayat_mazar,Kefayat Hotel,MAZC,premium,3,80,Offers family-friendly accommodations with private balconies and 24-hour security.,/assets/images/hotels/mazar/kefayat/kefayat.webp,,,1
hrk,royal_kandahar,Royal Hotel,KDRC,premium,3,50,A reliable standard hotel with easy access to Kandahar city.,/assets/images/hotels/kandahar/royal/royal.webp,,,1
hnk,nfc_kandahar,NFC Hotel,KDRC,standard,3,60,"Modern hotel complex with restaurant, snooker club, indoor pool and gymnasium facilities in the heart of Aino Mina.",/assets/images/hotels/kandahar/nfc/nfc.webp,/assets/images/hotels/kandahar/nfc/nfc-pool.webp,,1
hck,cont_kandahar,Continental Hotel,KDRC,standard,2,40,Affordable guesthouse-style hotel.,/assets/images/hotels/kandahar/continental/continental.webp,,,1
hdk,dubai_kandahar,Dubai Inn Hotel,KDRC,standard,3,75,Boutique property-style hotel.,/assets/images/hotels/kandahar/dubai-inn/dubai-inn.webp,,,1
hdf,dunya_faizabad,Bam Dunya Hotel,FAIC,standard,3,80,A peaceful retreat in Faizabad with mountain views and a quiet garden.,/assets/images/hotels/faizabad/bam-dunya/bam-dunya.webp,/assets/images/hotels/faizabad/bam-dunya/bam-dunya1.webp,,1
hqf,qasri_kokcha,Qasri Kokcha,FAIC,standard,3,50,Boutique property with panoramic views of the Kokcha River.,/assets/images/hotels/faizabad/qasri-kokcha/qasri-kokcha.webp,,,1
hrb,royal_bamyan,Royal Hotel,BMYC,standard,3,60,Warm hospitality in Bamyan featuring traditional decor and heated winter rooms.,/assets/images/hotels/bamyan/royal/royal.webp,,,1
htg,taj_ghaz,Taj Continental Hotel,GHZC,standard,2,40,A clean room with AC and heating. Great food prepared at on-site restaurant.,/assets/images/hotels/ghazni/taj-continental/taj-continental.webp,,,1
