from_location_code,to_attraction_code,route_type,requires_expedition,road_condition,confidence,overnight_type,province_code,notes,is_active
BMYC,DYK-001,expedition,1,rough,low,non_hub,DYK,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
FAIC,BDK-001,expedition,1,rough,low,non_hub,BDK,nan Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
FAIC,BDK-002,expedition,1,rough,low,non_hub,BDK,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
FAIC,BDK-003,expedition,1,rough,low,non_hub,BDK,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
HERC,GHO-001,expedition,1,rough,low,non_hub,GHO,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
HERC,GHO-002,expedition,1,rough,low,non_hub,GHO,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
HERC,NIM-001,expedition,1,rough,low,non_hub,NIM,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
HERC,NIM-002,expedition,1,rough,low,non_hub,NIM,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
HERC,NIM-003,expedition,1,rough,low,non_hub,NIM,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
JBDC,NRS-001,expedition,1,rough,low,non_hub,NRS,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
JBDC,NRS-002,expedition,1,rough,low,non_hub,NRS,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
JBDC,NRS-003,expedition,1,rough,low,non_hub,NRS,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
KBLC,PJR-002,expedition,1,rough,low,non_hub,PJR,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
KDRC,URZ-001,expedition,1,rough,low,non_hub,URZ,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
MAZC,FRY-001,expedition,1,rough,low,non_hub,FRY,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
MAZC,SEP-001,expedition,1,rough,low,non_hub,SEP,Manual review recommended for expedition-style routing. Typical planning assumption indicates overnight or field logistics may occur outside hub/secondary-city network.,1
BMYC,BMY-001,standard,0,paved,high,hub,BMY,,1
BMYC,BMY-002,standard,0,paved,high,hub,BMY,,1
BMYC,BMY-003,standard,0,paved,high,hub,BMY,,1
BMYC,BMY-004,standard,0,mixed,medium,hub,BMY,,1
BMYC,BMY-005,standard,0,mixed,medium,hub,BMY,,1
BMYC,BMY-006,standard,0,paved,high,hub,BMY,,1
BMYC,BMY-007,standard,0,paved,high,hub,BMY,,1
FAIC,TKH-001,adventure,0,rough,medium,hub,TKH,Access routed from nearest active operational base in current locations dataset. Remote access daytrip from hub assumed; review if user requests deeper field overnights.,1
GHZC,GHZ-001,standard,0,paved,high,hub,GHZ,,1
GHZC,GHZ-002,standard,0,paved,high,hub,GHZ,,1
GHZC,GHZ-003,standard,0,paved,high,hub,GHZ,,1
GHZC,GHZ-004,standard,0,paved,high,hub,GHZ,,1
GHZC,GHZ-005,standard,0,paved,high,hub,GHZ,,1
HERC,BDG-001,adventure,0,rough,medium,hub,BDG,Access routed from nearest active operational base in current locations dataset. Remote access daytrip from hub assumed; review if user requests deeper field overnights.,1
HERC,FRH-001,adventure,0,rough,medium,hub,FRH,Access routed from nearest active operational base in current locations dataset. Remote access daytrip from hub assumed; review if user requests deeper field overnights.,1
HERC,HER-001,standard,0,mixed,medium,hub,HER,,1
HERC,HER-002,standard,0,paved,high,hub,HER,,1
HERC,HER-003,standard,0,paved,high,hub,HER,,1
HERC,HER-004,standard,0,paved,high,hub,HER,,1
JBDC,KHT-001,standard,0,mixed,medium,hub,KHT,Access routed from nearest active operational base in current locations dataset.,1
JBDC,KNR-001,standard,0,mixed,medium,hub,KNR,Access routed from nearest active operational base in current locations dataset.,1
JBDC,LGM-001,standard,0,mixed,medium,hub,LGM,Access routed from nearest active operational base in current locations dataset.,1
JBDC,NGH-001,standard,0,paved,high,hub,NGH,,1
