province_code,province_name,province_slug,region,short_blurb,full_blurb,center_lat,center_lon,cover_image_path,square_image_path,svg_map_path,is_featured,feature_rank
BMY,Bamyan,bamyan,CENTRAL,"The crown jewel of Afghan tourism, home to UNESCO Buddhas and sapphire lakes.","Afghanistan’s premier cultural destination. Stand before the towering empty niches of the destroyed 6th-century Buddhas and explore the sapphire-blue travertine lakes of Band-e-Amir National Park. Known for its cool climate and the red fortress of Shahr-e Zohak, it is the spiritual and scenic heart of the Hazarajat.",34.77,67.29,/assets/images/province/bamyan.webp,/assets/images/province/square-size/bamiyan.jpg,/assets/images/maps/provinces/bamyan.svg,1,2.0
DYK,Daykundi,daykundi,CENTRAL,"A rugged, high-altitude landscape of almond blossoms and Hazara hospitality.","One of the most isolated provinces in the Central Highlands, Daykundi is a land of sheer cliffs and deep valleys. Famous for its high-quality almonds, it offers a raw, authentic look at rural life and stunning trekking opportunities through the Shah Foladi mountain range.",33.67,66.05,/assets/images/province/daykundi.webp,/assets/images/province/square-size/daykundi.jpg,/assets/images/maps/provinces/daykundi.svg,0,
GHZ,Ghazni,ghazni,CENTRAL,An ancient imperial capital filled with crumbling minarets and Ghaznavid history.,"Once the capital of a vast empire stretching to India, Ghazni is an open-air museum. The 12th-century victory minarets and the massive mud-brick citadel (Bala Hissar) tell the story of Sultan Mahmud, while the tomb of Al-Biruni marks it as a former center of global science.",33.55,68.43,/assets/images/province/ghazni.webp,/assets/images/province/square-size/ghazni.jpg,/assets/images/maps/provinces/ghazni.svg,1,5.0
KBL,Kabul,kabul,CENTRAL,"The frantic, historic, and resilient capital city at the crossroads of Asia.","A city of layers, Kabul blends the gardens of the Mughal Emperor Babur with the bustling chaos of the Mandawi Bazaar. From the turquoise domes of the Sakhi Shrine to the bird markets of the Old City, it is a high-energy hub where ancient Silk Road traditions meet the modern state.",34.51,69.16,/assets/images/province/kabul.webp,/assets/images/province/square-size/kabul.jpg,/assets/images/maps/provinces/kabul.svg,1,1.0
KPS,Kapisa,kapisa,CENTRAL,A fertile valley of citrus groves and ancient Buddhist monastery ruins.,"Known for its lush agriculture and historical importance as a gateway to the north. Visitors explore the ruins of the Shotorak monastery, dating back to the Kushan Empire, and enjoy the greenery of the Tagab and Nijrab valleys, often called the fruit basket of the Kabul region.",35.01,69.67,/assets/images/province/kapisa.webp,/assets/images/province/square-size/kapisa.jpg,/assets/images/maps/provinces/kapisa.svg,0,
LGR,Logar,logar,CENTRAL,Gateway to the south and home to the world’s most significant copper-age ruins.,"Logar is defined by its fertile plains and the massive Mes Aynak archaeological site. This ancient Buddhist city, built atop a massive copper deposit, remains one of the world's most critical heritage sites, featuring stupas and statues dating back 2,000 years.",34.00,69.35,/assets/images/province/logar.webp,/assets/images/province/square-size/logar.jpg,/assets/images/maps/provinces/logar.svg,0,
PJR,Panjshir,panjshir,CENTRAL,The legendary Five Lions valley of emerald mines and resistance history.,"A dramatic, narrow gorge carved by a glacial river. Panjshir is world-renowned for its high-quality emeralds and its history as an unconquerable fortress. Travelers visit the Massoud Mausoleum and the Paryan Valley for breathtaking alpine scenery and mountain air.",35.48,69.75,/assets/images/province/panjshir.webp,/assets/images/province/square-size/panjshir.jpg,/assets/images/maps/provinces/panjshir.svg,0,
PRW,Parwan,parwan,CENTRAL,Home to the engineering marvel of the Salang Pass and lush hillside gardens.,"Parwan is the strategic hinge between Kabul and the North. It features the Salang Pass—the highest tunnel in the world—and the historic Jabal Saraj Palace. The Charikar region is famous for its grapes and the Flower Hill (Gul Ghondi), a favorite picnic spot for locals.",35.22,69.15,/assets/images/province/parwan.webp,/assets/images/province/square-size/parwan.jpg,/assets/images/maps/provinces/parwan.svg,0,
WRD,Wardak,wardak,CENTRAL,A high-altitude gateway of nomadic pastures and dramatic mountain passes.,"Dominated by the Koh-e-Baba range, Wardak is a transit heartland. Its Tangi Valley and Hajigak Pass offer rugged scenery where Kuchi nomads migrate seasonally. It serves as a vital cultural link between the Pashtun south and the Hazara central highlands.",34.40,68.80,/assets/images/province/wardak.webp,/assets/images/province/square-size/wardak.jpg,/assets/images/maps/provinces/wardak.svg,0,
KHT,Khost,khost,EAST,"A lush, pine-forested borderland with a deep tribal and trade heritage.","Known as the Little Switzerland of the east for its pine-covered hills, Khost is a vibrant Pashtun cultural center. Its bustling border bazaars and the modern Khost Mosque highlight a region that thrives on trade and deep-rooted tribal customs.",33.34,69.92,/assets/images/province/khost.webp,/assets/images/province/square-size/khost.jpg,/assets/images/maps/provinces/khost.svg,0,
KNR,Kunar,kunar,EAST,"A land of roaring rivers, dense forests, and the wild Korangal Valley.","Kunar is defined by the mighty Kunar River and its timber-rich mountains. It is a premier destination for those seeking the wild East, offering dramatic river-gorge scenery and the lush, steep-sided valleys that lead into the Nuristan forests.",35.00,71.10,/assets/images/province/kunar.webp,/assets/images/province/square-size/kunar.jpg,/assets/images/maps/provinces/kunar.svg,0,
LGM,Laghman,laghman,EAST,A sub-tropical oasis of citrus orchards and Alexander the Great’s legacy.,"Laghman is a fertile paradise of rivers and gardens. The Alingar and Alishang rivers feed vast fields of rice and citrus. History buffs visit the Qala-e-Seraj and look for traces of Alexander the Great, who reportedly founded a city in these lush valleys.",34.85,70.15,/assets/images/province/laghman.webp,/assets/images/province/square-size/laghman.jpg,/assets/images/maps/provinces/laghman.svg,0,
NGH,Nangarhar,nangarhar,EAST,The garden province of Jalalabad and the gateway to the Khyber Pass.,"Home to the Evergreen City of Jalalabad, Nangarhar is famous for its orange blossoms and warm winters. It is a major trade hub on the path to the Khyber Pass and contains the Buddhist remains of Hadda, showing its deep importance to the ancient Silk Road.",34.39,70.33,/assets/images/province/nangarhar.webp,/assets/images/province/square-size/nangarhar.jpg,/assets/images/maps/provinces/nangarhar.svg,1,7.0
NRS,Nuristan,nuristan,EAST,The forested Land of Light with unique wooden architecture and alpine peaks.,"Until the late 19th century, this was Kafiristan. Today, it is a National Park of vertical cedar forests and wooden-balconied villages. Its people have a distinct culture and language, living in some of the most dramatic mountain terrain in the Hindu Kush.",35.42,71.34,/assets/images/province/nuristan.webp,/assets/images/province/square-size/nuristan.jpg,/assets/images/maps/provinces/nuristan.svg,1,10.0
