location_code,name,type,parent_code,slug,is_active,sort_order,is_hub,is_secondary,has_airport
AFG,Afghanistan,country,,afghanistan,1,0,0,0,0
CENTRAL,Central Highlands,region,AFG,central,1,1,0,0,0
NORTH,Northern Afghanistan,region,AFG,north,1,2,0,0,0
WEST,Western Afghanistan,region,AFG,west,1,3,0,0,0
SOUTH,Southern Afghanistan,region,AFG,south,1,4,0,0,0
EAST,Eastern Afghanistan,region,AFG,east,1,5,0,0,0
BDK,Badakhshan,province,NORTH,badakhshan,1,100,0,0,0
BDG,Badghis,province,WEST,badghis,1,100,0,0,0
BAG,Baghlan,province,NORTH,baghlan,1,100,0,0,0
BAL,Balkh,province,NORTH,balkh,1,100,0,0,0
BMY,Bamyan,province,CENTRAL,bamyan,1,100,0,0,0
DYK,Daykundi,province,CENTRAL,daykundi,1,100,0,0,0
FRH,Farah,province,WEST,farah,1,100,0,0,0
FRY,Faryab,province,NORTH,faryab,1,100,0,0,0
GHZ,Ghazni,province,CENTRAL,ghazni,1,100,0,0,0
GHO,Ghor,province,WEST,ghor,1,100,0,0,0
HLM,Helmand,province,SOUTH,helmand,1,100,0,0,0
HER,Herat,province,WEST,herat,1,100,0,0,0
JOW,Jowzjan,province,NORTH,jowzjan,1,100,0,0,0
KBL,Kabul,province,CENTRAL,kabul,1,100,0,0,0
KDR,Kandahar,province,SOUTH,kandahar,1,100,0,0,0
KPS,Kapisa,province,CENTRAL,kapisa,1,100,0,0,0
KHT,Khost,province,EAST,khost,1,100,0,0,0
KNR,Kunar,province,EAST,kunar,1,100,0,0,0
KDZ,Kunduz,province,NORTH,kunduz,1,100,0,0,0
LGM,Laghman,province,EAST,laghman,1,100,0,0,0
LGR,Logar,province,CENTRAL,logar,1,100,0,0,0
NGH,Nangarhar,province,EAST,nangarhar,1,100,0,0,0
NIM,Nimroz,province,SOUTH,nimroz,1,100,0,0,0
NRS,Nuristan,province,EAST,nuristan,1,100,0,0,0
PTA,Paktia,province,EAST,paktia,1,100,0,0,0
PTK,Paktika,province,EAST,paktika,1,100,0,0,0
PJR,Panjshir,province,CENTRAL,panjshir,1,100,0,0,0
PRW,Parwan,province,CENTRAL,parwan,1,100,0,0,0
SAM,Samangan,province,NORTH,samangan,1,100,0,0,0
SEP,Sar-e-Pol,province,NORTH,sar-e-pol,1,100,0,0,0
TKH,Takhar,province,NORTH,takhar,1,100,0,0,0
URZ,Uruzgan,province,SOUTH,uruzgan,1,100,0,0,0
WRD,Wardak,province,CENTRAL,wardak,1,100,0,0,0
ZBL,Zabul,province,SOUTH,zabul,1,100,0,0,0
KBLC,Kabul,destination,KBL,kabul-city,1,10,1,0,1
JBDC,Jalalabad,destination,NGH,jalalabad-city,1,11,1,0,0
KDRC,Kandahar,destination,KDR,kandahar-city,1,12,1,0,1
GHZC,Ghazni,destination,GHZ,ghazni-city,1,13,1,0,0
BMYC,Bamyan,destination,BMY,bamyan-city,1,14,1,0,0
MAZC,Mazar-e-Sharif,destination,BAL,mazar-e-sharif-city,1,15,1,0,1
FAIC,Faizabad,destination,BDK,faizabad-city,1,16,1,0,0
HERC,Herat,destination,HER,herat-city,1,17,1,0,1
LSGC,Lashkar Gah,destination,HLM,lashkar-gah,1,1,0,1,0
ZRNC,Zaranj,destination,NIM,zaranj,1,1,0,1,0
FRHC,Farah City,destination,FRH,farah-city,1,1,0,1,0
KHTC,Khost City,destination,KHT,khost-city,1,1,0,1,0
PRNC,Parun,destination,NRS,parun,1,1,0,1,0
YKLC,Yakawlang,destination,BMY,yakawlang,1,2,0,1,0
