experience_slug,hub_slug,access_type,availability_note,priority,is_active
adam-khan-chapli-kabob,jalalabad-city,in-hub,,1,1
kunar-trout,jalalabad-city,day-trip,Exact venue pending operator confirmation,2,1
kandahari-rosh,kandahar-city,in-hub,Exact venue pending,1,1
chashma-e-dogh,kabul-city,near-hub,Market / non-restaurant,1,1
kabul-chainaki,kabul-city,in-hub,Exact venue pending unless approved restaurant exists,2,1
aziz-bakery,kabul-city,in-hub,Operator-provided,1,1
bamyan-kabob,bamyan-city,in-hub,Exact venue pending,1,1
band-e-amir-quroot-dairy,bamyan-city,excursion,Market / non-restaurant,1,1
arg-restaurant-herat,herat-city,in-hub,,1,1
ghazni-palaw,ghazni-city,in-hub,Exact venue pending,1,1
mansoor-kabob,mazar-e-sharif,near-hub,Operator-provided name; not confirmed; no invented address,1,1
