transport_id,transport_name,transport_slug,tier,vehicle_type,min_pax,max_pax,route_group_id,logic_notes,is_active
GT-TAXI-BUD,Taxi (Budget),taxi-budget,budget,taxi,1,3,ALL_LOCATIONS,"If guests > 3, automatically allocate multiple taxis (ceil(guests/3)).",1
GT-VAN-OLD-BUD,Older Van (Budget),van-old-budget,budget,van,1,6,ALL_EXCEPT_NUR,Budget van; can reach most destinations except Nuristan.,1
GT-BUS-BUD,Bus (Budget),bus-budget,budget,bus,1,50,CORRIDOR_RING,"Shared public inter-city coach seating (individual seat). Economical highway travel on main thoroughfares; departure times follow local station schedules. Not a private charter.",1
GT-SED-STD,Sedan (Standard),sedan-standard,standard,sedan,1,3,ALL_EXCEPT_NUR,Private standard sedan; nothing fancy.,1
GT-VAN-STD,Van (Standard),van-standard,standard,van,1,6,ALL_EXCEPT_NUR,Private standard van; broad access except Nuristan.,1
GT-SUV-OLD-STD,SUV (Standard / Older Model),suv-standard-old,standard,suv,1,3,ALL_EXCEPT_NUR,Older SUV models; broad access except Nuristan.,1
GT-BUS-STD,Bus (Standard / Coaster),standard-bus,standard,bus,8,20,CORRIDOR_RING,"Private Toyota Coaster minibus charter for tour groups and delegations. Full route flexibility under Afghan Tours escort — not shared public seating.",1
GT-COACH-STD,Coach (Standard / Mercedes–Hino),standard-coach,standard,coach,10,45,CORRIDOR_RING,"Private full-size coach charter (Mercedes-Benz / Hino class) for larger parties on corridor routes. Distinct from the Coaster minibus and from shared budget bus seating.",1
GT-SUV-NEW-PRM,4x4 SUV (Premium / Newer Model),suv-premium-4x4,premium,suv_4x4,1,3,ALL_LOCATIONS,Newer 4x4 SUVs; can operate on all locations listed.,1
GT-VAN-NEW-PRM,Newer Van (Premium),van-premium-new,premium,van_new,1,6,CORRIDOR_RING,Newer vans limited to main corridor network (same constraint as buses).,1
GT-ARMORED,Armored Vehicle (Luxury),armored-vehicle,armored,armored,1,3,ARMORED_SEASONAL,Armored vehicles limited to corridor routes; Bamyan only May–Oct.,1
